[*] Hunting for Roland Directory Entries in: SP-808TS25E.ima
Offset       | LBA      | Name Found
----------------------------------------
0x6600       | 51       | SP-808TS
0x66e0       | 51       | SYSTEM~1
0x6700       | 51       | SONG0000
0x6720       | 51       | SONGLIST
0xa600       | 83       | .
0xa620       | 83       | ..
0xa640       | 83       | EFFECT__
0xa660       | 83       | PADBANK_
0xa680       | 83       | SAMPLE__
0xa6a0       | 83       | SAMPLE__
0xa6c0       | 83       | TAKE0000
0xa6e0       | 83       | TAKE0001
0xa700       | 83       | TAKE0002
0xa720       | 83       | TAKE0003
0xa740       | 83       | TAKE0004
0xa760       | 83       | TAKE0005
0xa780       | 83       | TAKE0006
0xa7a0       | 83       | TAKE0007
0xa7c0       | 83       | TAKE0008
0xa7e0       | 83       | TAKE0009
0xa800       | 84       | TAKE0010
0xa820       | 84       | TAKE0011
0xa840       | 84       | TAKE0012
0xa860       | 84       | TAKE0013
0xa880       | 84       | TAKE0014
0xa8a0       | 84       | TAKE0015
0xa8c0       | 84       | TAKE0016
0xa8e0       | 84       | TAKE0017
0xa900       | 84       | TAKE0018
0xa920       | 84       | TAKE0019
0xa940       | 84       | TAKE0020
0xa960       | 84       | TAKE0021
0xa980       | 84       | TAKE0022
0xa9a0       | 84       | TAKE0023
0xa9c0       | 84       | TAKE0024
0xa9e0       | 84       | TAKE0025
0xaa00       | 85       | TAKE0026
0xaa20       | 85       | TAKE0027
0xaa40       | 85       | TAKE0028
0xaa60       | 85       | TAKE0029
0xaa80       | 85       | TAKE0030
0xaaa0       | 85       | TAKE0031
0xaac0       | 85       | TAKE0032
0xaae0       | 85       | TAKE0033
0xab00       | 85       | TAKE0034
0xab20       | 85       | TAKE0035
0xab40       | 85       | TAKE0036
0xab60       | 85       | TAKE0037
0xab80       | 85       | TAKE0038
0xaba0       | 85       | TAKE0039
0xabc0       | 85       | TAKE0040
0xabe0       | 85       | TAKE0041
0xac00       | 86       | TAKE0042
0xac20       | 86       | TAKE0043
0xac40       | 86       | TAKE0044
0xac60       | 86       | TAKE0045
0xac80       | 86       | TAKE0046
0xaca0       | 86       | TAKE0047
0xacc0       | 86       | TAKE0048
0xace0       | 86       | TAKE0049
0xad00       | 86       | TAKE0050
0xad20       | 86       | TAKE0051
0xad40       | 86       | TAKE0052
0xad60       | 86       | TAKE0053
0xad80       | 86       | TAKE0054
0xada0       | 86       | TAKE0055
0xadc0       | 86       | TAKE0056
0xade0       | 86       | TAKE0057
0xae00       | 87       | TAKE0058
0xae20       | 87       | TAKE0059
0xae40       | 87       | TAKE0060
0xae60       | 87       | TAKE0061
0xae80       | 87       | TAKE0062
0xaea0       | 87       | TAKE0063
0xaec0       | 87       | TAKE0064
0xaee0       | 87       | TAKE0065
0xaf00       | 87       | TAKE0066
0xaf20       | 87       | TAKE0067
0xaf40       | 87       | TAKE0068
0xaf60       | 87       | TAKE0069
0xaf80       | 87       | TAKE0070
0xafa0       | 87       | TAKE0071
0xafc0       | 87       | TAKE0072
0xafe0       | 87       | TAKE0073
0xb000       | 88       | TAKE0074
