[*] Mapping R-DAC patterns in SP-808TS25E.ima...
[*] Block Size: 4096 bytes
LBA        | Offset       | Entropy  | Type
-------------------------------------------------------
32         | 0x4000       | 7.10     | Metadata/Table
40         | 0x5000       | 7.35     | DATA (R-DAC?)
48         | 0x6000       | 3.58     | Empty/Padding
80         | 0xa000       | 3.68     | Empty/Padding
88         | 0xb000       | 5.06     | Metadata/Table
96         | 0xc000       | 3.67     | Empty/Padding
144        | 0x12000      | 1.38     | Empty/Padding
152        | 0x13000      | 2.29     | Empty/Padding
160        | 0x14000      | 1.89     | Empty/Padding
168        | 0x15000      | 2.25     | Empty/Padding
176        | 0x16000      | 2.73     | Empty/Padding
184        | 0x17000      | 2.11     | Empty/Padding
192        | 0x18000      | 1.30     | Empty/Padding
272        | 0x22000      | 2.53     | Empty/Padding
280        | 0x23000      | 3.12     | Empty/Padding
288        | 0x24000      | 2.08     | Empty/Padding
296        | 0x25000      | 1.57     | Empty/Padding
304        | 0x26000      | 1.57     | Empty/Padding
312        | 0x27000      | 1.57     | Empty/Padding
320        | 0x28000      | 1.57     | Empty/Padding
328        | 0x29000      | 1.57     | Empty/Padding
336        | 0x2a000      | 3.11     | Empty/Padding
344        | 0x2b000      | 3.12     | Empty/Padding
352        | 0x2c000      | 2.08     | Empty/Padding
360        | 0x2d000      | 1.57     | Empty/Padding
368        | 0x2e000      | 1.57     | Empty/Padding
376        | 0x2f000      | 1.57     | Empty/Padding
384        | 0x30000      | 1.57     | Empty/Padding
392        | 0x31000      | 1.57     | Empty/Padding
400        | 0x32000      | 3.11     | Empty/Padding
408        | 0x33000      | 3.12     | Empty/Padding
416        | 0x34000      | 2.04     | Empty/Padding
424        | 0x35000      | 1.57     | Empty/Padding
432        | 0x36000      | 1.57     | Empty/Padding
440        | 0x37000      | 1.57     | Empty/Padding
448        | 0x38000      | 1.57     | Empty/Padding
456        | 0x39000      | 1.57     | Empty/Padding
464        | 0x3a000      | 6.10     | Metadata/Table
472        | 0x3b000      | 7.76     | DATA (R-DAC?)
480        | 0x3c000      | 7.78     | DATA (R-DAC?)
488        | 0x3d000      | 7.79     | DATA (R-DAC?)
496        | 0x3e000      | 7.72     | DATA (R-DAC?)
504        | 0x3f000      | 7.73     | DATA (R-DAC?)
512        | 0x40000      | 7.75     | DATA (R-DAC?)
520        | 0x41000      | 7.75     | DATA (R-DAC?)
528        | 0x42000      | 7.76     | DATA (R-DAC?)
536        | 0x43000      | 7.78     | DATA (R-DAC?)
544        | 0x44000      | 7.75     | DATA (R-DAC?)
552        | 0x45000      | 7.71     | DATA (R-DAC?)
560        | 0x46000      | 7.80     | DATA (R-DAC?)
568        | 0x47000      | 7.81     | DATA (R-DAC?)
576        | 0x48000      | 7.81     | DATA (R-DAC?)
584        | 0x49000      | 7.70     | DATA (R-DAC?)
592        | 0x4a000      | 7.79     | DATA (R-DAC?)
600        | 0x4b000      | 7.80     | DATA (R-DAC?)
608        | 0x4c000      | 7.77     | DATA (R-DAC?)
616        | 0x4d000      | 7.78     | DATA (R-DAC?)
624        | 0x4e000      | 7.81     | DATA (R-DAC?)
632        | 0x4f000      | 7.80     | DATA (R-DAC?)
640        | 0x50000      | 7.72     | DATA (R-DAC?)
648        | 0x51000      | 7.80     | DATA (R-DAC?)
656        | 0x52000      | 7.81     | DATA (R-DAC?)
664        | 0x53000      | 7.72     | DATA (R-DAC?)
672        | 0x54000      | 7.76     | DATA (R-DAC?)
680        | 0x55000      | 7.78     | DATA (R-DAC?)
688        | 0x56000      | 7.79     | DATA (R-DAC?)
696        | 0x57000      | 7.67     | DATA (R-DAC?)
704        | 0x58000      | 7.76     | DATA (R-DAC?)
712        | 0x59000      | 7.77     | DATA (R-DAC?)
720        | 0x5a000      | 7.77     | DATA (R-DAC?)
728        | 0x5b000      | 7.75     | DATA (R-DAC?)
736        | 0x5c000      | 7.74     | DATA (R-DAC?)
744        | 0x5d000      | 7.75     | DATA (R-DAC?)
752        | 0x5e000      | 7.74     | DATA (R-DAC?)
760        | 0x5f000      | 7.76     | DATA (R-DAC?)
768        | 0x60000      | 7.78     | DATA (R-DAC?)
776        | 0x61000      | 7.74     | DATA (R-DAC?)
784        | 0x62000      | 7.75     | DATA (R-DAC?)
792        | 0x63000      | 7.80     | DATA (R-DAC?)
800        | 0x64000      | 7.81     | DATA (R-DAC?)
808        | 0x65000      | 7.78     | DATA (R-DAC?)
816        | 0x66000      | 7.73     | DATA (R-DAC?)
824        | 0x67000      | 7.80     | DATA (R-DAC?)
832        | 0x68000      | 7.80     | DATA (R-DAC?)
840        | 0x69000      | 7.77     | DATA (R-DAC?)
848        | 0x6a000      | 7.76     | DATA (R-DAC?)
856        | 0x6b000      | 7.81     | DATA (R-DAC?)
864        | 0x6c000      | 7.74     | DATA (R-DAC?)
872        | 0x6d000      | 7.79     | DATA (R-DAC?)
880        | 0x6e000      | 7.80     | DATA (R-DAC?)
888        | 0x6f000      | 7.81     | DATA (R-DAC?)
896        | 0x70000      | 7.71     | DATA (R-DAC?)
904        | 0x71000      | 7.69     | DATA (R-DAC?)
912        | 0x72000      | 7.76     | DATA (R-DAC?)
920        | 0x73000      | 6.86     | Metadata/Table
